"filename", "language", "JSON", "Docker", "C++", "Markdown", "PostCSS", "JavaScript", "JavaScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\dev\cpp-judger-project\backend\myapp\temp\196\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\197\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\198\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\199\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\19\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\200\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\201\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\202\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\203\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\204\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\205\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\206\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\207\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\208\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\209\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\20\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\210\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\211\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\212\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\213\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\214\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\dev\cpp-judger-project\backend\myapp\temp\215\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\216\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\217\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\218\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\219\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\21\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\220\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\221\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\222\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\223\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\224\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\225\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\226\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\227\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\228\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\229\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\22\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\230\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
